"land","gen","value_k","suppressed","low_rel"
"Baden-Württemberg","all_gens",29,FALSE,FALSE
"Baden-Württemberg","first_gen",24,FALSE,FALSE
"Bayern","all_gens",31,FALSE,FALSE
"Bayern","first_gen",24,FALSE,FALSE
"Berlin","all_gens",24,FALSE,FALSE
"Berlin","first_gen",18,FALSE,FALSE
"Brandenburg","all_gens",NA,TRUE,FALSE
"Brandenburg","first_gen",NA,TRUE,FALSE
"Bremen","all_gens",7,FALSE,TRUE
"Bremen","first_gen",6,FALSE,TRUE
"Hamburg","all_gens",34,FALSE,FALSE
"Hamburg","first_gen",28,FALSE,FALSE
"Hessen","all_gens",46,FALSE,FALSE
"Hessen","first_gen",37,FALSE,FALSE
"Mecklenburg-Vorpommern","all_gens",NA,TRUE,FALSE
"Mecklenburg-Vorpommern","first_gen",NA,TRUE,FALSE
"Niedersachsen","all_gens",26,FALSE,FALSE
"Niedersachsen","first_gen",22,FALSE,FALSE
"Nordrhein-Westfalen","all_gens",88,FALSE,FALSE
"Nordrhein-Westfalen","first_gen",69,FALSE,FALSE
"Rheinland-Pfalz","all_gens",12,FALSE,FALSE
"Rheinland-Pfalz","first_gen",9,FALSE,TRUE
"Saarland","all_gens",NA,TRUE,FALSE
"Saarland","first_gen",NA,TRUE,FALSE
"Sachsen","all_gens",NA,TRUE,FALSE
"Sachsen","first_gen",NA,TRUE,FALSE
"Sachsen-Anhalt","all_gens",NA,TRUE,FALSE
"Sachsen-Anhalt","first_gen",NA,TRUE,FALSE
"Schleswig-Holstein","all_gens",11,FALSE,TRUE
"Schleswig-Holstein","first_gen",9,FALSE,TRUE
"Thüringen","all_gens",NA,TRUE,FALSE
"Thüringen","first_gen",NA,TRUE,FALSE
